user_id,full_name,pan_masked,pan_valid,aadhaar_masked,aadhaar_valid,date_of_birth,city,state,monthly_income,income_was_negative,income_missing,occupation,signup_timestamp,kyc_status,risk_segment,risk_segment_missing
USR14576,Yagnesh Brar,JXXXXXXX7E,True,XXXXXXXX3795,True,1992-02-17,Pune,Maharashtra,7585.0,False,False,Self Employed,2026-03-31 20:00:40,VERIFIED,LOW,False
USR18665,Hemangini Suresh,EZXXXXXX2X,True,XXXXXXXX1609,True,1985-02-14,Pune,Maharashtra,34849.0,False,False,Self Employed,2026-03-31 16:48:25,VERIFIED,MEDIUM,False
USR87126,Arya Koshy,DNXXXXXX4S,True,XXXXXXXX9681,True,1997-11-07,Lucknow,Uttar Pradesh,34208.0,False,False,Self Employed,2026-03-31 15:22:51,VERIFIED,MEDIUM,False
USR61429,Chakradev Madan,FQXXXXXX3D,True,XXXXXXXX7974,True,2002-12-17,Bengaluru,Karnataka,27102.0,False,False,Gig Worker,2026-03-31 08:51:46,VERIFIED,LOW,False
USR18778,Hemangini Sura,JUXXXXXX9N,True,XXXXXXXX8049,True,1989-08-01,Kolkata,West Bengal,22501.0,False,False,Unemployed,2026-03-31 07:52:44,PENDING,HIGH,False
USR78267,Daksh Nigam,KCXXXXXX8N,True,XXXXXXXX98XX,False,1972-09-22,Pune,Maharashtra,29674.0,False,False,Business Owner,2026-03-31 06:26:00,VERIFIED,MEDIUM,False
USR19625,Garima Puri,CXXXXXXX6A,True,XXXXXXXX3121,True,1985-10-08,Jaipur,Rajasthan,40951.0,True,False,Freelancer,2026-03-31 01:09:00,VERIFIED,LOW,False
USR87583,Henry Setty,DVXXXXXX5V,True,XXXXXXXX4638,True,1999-03-13,Chennai,Tamil Nadu,32907.0,False,False,Student,2026-03-31 00:10:59,VERIFIED,LOW,False
USR60904,Suhani Oza,WYXXXXXX8A,True,XXXXXXXX2284,True,1996-03-21,Ludhiana,Punjab,64722.0,True,False,Self Employed,2026-03-31 00:00:00,PENDING,LOW,False
USR71878,Farhan Ba1asubramanian,OAXXXXXX2Z,True,XXXXXXXX1446,True,2003-12-01,Chennai,Tamil Nadu,27527.0,False,False,Freelancer,2026-03-31 00:00:00,REJECTED,MEDIUM,False
USR42124,Pushti Mahajan,CTXXXXXX5Y,True,XXXXXXXX7578,True,1994-12-06,Amritsar,Punjab,38831.0,False,False,Retired,2026-03-31 00:00:00,VERIFIED,LOW,False
USR33506,VASATIKA SASTRY,RKXXXXXX8B,True,XXXXXXXX1838,True,1960-10-09,Hyderabad,Telangana,15982.0,False,False,Student,2026-03-31 00:00:00,VERIFIED,LOW,False
USR69483,Samuel Soman,LGXXXXXX0V,True,XXXXXXXX5586,True,1995-09-16,Delhi,Delhi,25856.0,False,False,Freelancer,2026-03-31 00:00:00,VERIFIED,MEDIUM,False
USR81478,Jeremiah Sant,PHXXXXXX8T,True,XXXXXXXX6349,True,1973-06-23,Amritsar,Punjab,37700.0,False,False,Student,2026-03-31 00:00:00,VERIFIED,LOW,False
USR35680,Eta Ganesan,LWXXXXXX6B,True,XXXXXXXX6937,True,1985-06-22,Pune,Maharashtra,12599.0,False,False,Self Employed,2026-03-31 00:00:00,VERIFIED,MEDIUM,False
USR26948,Anjali Dua,OOXXXXXX4T,True,XXXXXXXX5741,True,2004-02-02,Amritsar,Punjab,52527.0,False,False,Unemployed,2026-03-31 00:00:00,VERIFIED,LOW,False
USR56719,Wakeeta Hayer,BQXXXXXX4T,True,XXXXXXXX3549,True,1999-09-25,Jalandhar,Punjab,29173.0,False,False,Salaried,2026-03-31 00:00:00,VERIFIED,MEDIUM,False
USR48146,CalebParsa,UNXXXXXX9Q,True,XXXXXXXX6414,True,1981-09-01,Chennai,Tamil Nadu,30824.0,False,False,Freelancer,2026-03-31 00:00:00,PENDING,LOW,False
USR83104,Aadi Sahni,FMXXXXXX1L,True,XXXXXXXX9637,True,1991-07-12,Hyderabad,Telangana,20222.0,False,False,Salaried,2026-03-31 00:00:00,VERIFIED,HIGH,False
USR47462,Wahab Sawhney,HCXXXXXX6X,False,XXXXXXXXXXXX,False,1995-03-27,Hyderabad,Telangana,71214.0,False,False,Student,2026-03-31 00:00:00,VERIFIED,LOW,False
USR91450,gaurangi sastry,JHXXXXXX5S,True,XXXXXXXX2007,True,1981-03-19,Ludhiana,Punjab,32067.0,False,False,Freelancer,2026-03-31 00:00:00,PENDING,LOW,False
USR63440,Rajata Khanna,RHXXXXXX8W,True,XXXXXXXX9700,True,1963-06-23,Mumbai,Maharashtra,27088.0,False,False,Farmer,2026-03-31 00:00:00,REJECTED,MEDIUM,False
USR23256,DanielDoshi,OIXXXXXX1J,True,XXXXXXXX6184,True,1974-12-20,Jaipur,Rajasthan,37957.0,False,False,Farmer,2026-03-31 00:00:00,PENDING,MEDIUM,False
USR74753,Tanish Jha,KFXXXXXX8P,True,XXXXXXXX3848,True,2005-08-31,Chennai,Tamil Nadu,35217.0,False,False,Unemployed,2026-03-31 00:00:00,PENDING,LOW,False
